Epoch,Train Loss,Train Accuracy,Validation Accuracy
1,2.424,0.2743,0.3917
2,1.6707,0.4897,0.5409
3,1.3075,0.6013,0.6317
4,1.0674,0.6741,0.6767
5,0.9123,0.724,0.722
6,0.8056,0.7551,0.729
7,0.7221,0.7782,0.7555
8,0.6547,0.7995,0.7693
9,0.596,0.8177,0.7698
10,0.5493,0.8321,0.7979
11,0.5064,0.8446,0.803
12,0.4706,0.8543,0.8182
13,0.4369,0.8646,0.8089
14,0.4123,0.8715,0.8274
15,0.3866,0.8797,0.8079
16,0.3625,0.887,0.8145
17,0.3387,0.894,0.8302
18,0.3221,0.8998,0.8372
19,0.3046,0.9034,0.8198
20,0.2862,0.9099,0.8366
